country,year,gender,age,nobs_log_inc,std_log_inc,nobs_res_1yr_log_chg,std_res_1yr_log_chg,kurt_res_1yr_log_chg,p1_res_1yr_log_chg,p2_5_res_1yr_log_chg,p5_res_1yr_log_chg,p10_res_1yr_log_chg,p12_5_res_1yr_log_chg,p25_res_1yr_log_chg,p37_5_res_1yr_log_chg,p50_res_1yr_log_chg,p62_5_res_1yr_log_chg,p75_res_1yr_log_chg,p87_5_res_1yr_log_chg,p90_res_1yr_log_chg,p95_res_1yr_log_chg,p97_5_res_1yr_log_chg,p99_res_1yr_log_chg,p99_9_res_1yr_log_chg,p99_99_res_1yr_log_chg,p9010_res_1yr_log_chg,p9050_res_1yr_log_chg,p5010_res_1yr_log_chg,nobs_res_5yr_log_chg,std_res_5yr_log_chg,kurt_res_5yr_log_chg
GER,2013,Male,25-55,12638300.0,0.81680346,11665430.0,0.37662774,17.758162,-1.3159515,-0.7795893,-0.4079425,-0.16061322,-0.12008549,-0.043129772,-0.014872403,0.008142272,0.034486052,0.073664218,0.19639029,0.26506919,0.58305478,0.95296907,1.3946179,2.2803113,2.8356457,0.42568243,0.25692692,0.1687555,,,
GER,2014,Male,25-55,12796310.0,0.82435739,11795760.0,0.38462135,16.85557,-1.3013381,-0.76500005,-0.4031848,-0.16334499,-0.12378633,-0.047686413,-0.017769417,0.0060517308,0.03378997,0.076062396,0.21650212,0.29418945,0.63330716,1.0062513,1.4348339,2.3324537,2.8429554,0.45753443,0.28813773,0.16939673,,,
GER,2015,Male,25-55,12958310.0,0.82193273,11928900.0,0.38675448,16.775366,-1.3038386,-0.77242982,-0.40857288,-0.1675556,-0.12711348,-0.049581751,-0.019454014,0.0033600251,0.029526619,0.071233116,0.20996171,0.28721434,0.63475204,1.0149999,1.4551853,2.3492997,2.8232491,0.45476994,0.28385431,0.17091562,,,
GER,2016,Male,25-55,13096250.0,0.82108736,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,1998,Male,25-55,43000000.0,0.9358,39900000.0,0.5662,12.59,-2.011,-1.336,-0.8332,-0.4061,-0.2954,-0.05853,0.01796,0.06301,0.1152,0.2082,0.436,0.5322,0.8759,1.263,1.742,2.782,3.672,0.9383,0.4692,0.4691,32000000.0,0.8038,8.683
USA,1999,Male,25-55,43500000.0,0.9391,40400000.0,0.57,12.62,-2.036,-1.343,-0.8361,-0.4076,-0.2981,-0.065,0.01053,0.05602,0.109,0.2029,0.4314,0.5288,0.877,1.272,1.76,2.809,3.668,0.9364,0.4728,0.4636,32700000.0,0.8062,8.771
USA,2000,Male,25-55,44200000.0,0.9453,40600000.0,0.575,12.57,-2.118,-1.42,-0.9081,-0.4547,-0.3331,-0.07241,0.01871,0.06548,0.1132,0.1952,0.4013,0.4893,0.8247,1.215,1.701,2.763,3.581,0.9439,0.4238,0.5202,32900000.0,0.7967,9.016
USA,2001,Male,25-55,44100000.0,0.9504,40100000.0,0.5908,12.64,-2.252,-1.531,-0.9883,-0.4894,-0.3521,-0.0602,0.03133,0.07479,0.1179,0.1922,0.3867,0.4704,0.8004,1.183,1.672,2.728,3.546,0.9598,0.3956,0.5642,32800000.0,0.7898,9.17
USA,2002,Male,25-55,43400000.0,0.959,39500000.0,0.5935,12.41,-2.234,-1.517,-0.9727,-0.4721,-0.335,-0.05326,0.029,0.06823,0.1113,0.1878,0.3974,0.4898,0.8413,1.238,1.727,2.757,3.546,0.9619,0.4216,0.5403,32400000.0,0.7957,9.016
USA,2003,Male,25-55,42900000.0,0.9692,39500000.0,0.588,12.47,-2.147,-1.429,-0.8965,-0.4225,-0.2988,-0.04753,0.02078,0.06092,0.1084,0.1931,0.4219,0.5243,0.8946,1.305,1.803,2.828,3.606,0.9468,0.4634,0.4834,31900000.0,0.8019,8.664
USA,2004,Male,25-55,48000000.0,0.9705,44200000.0,0.5794,12.71,-2.113,-1.395,-0.8607,-0.4056,-0.289,-0.05402,0.01394,0.05285,0.1004,0.1874,0.4178,0.5186,0.8859,1.292,1.794,2.835,3.616,0.9242,0.4658,0.4584,34600000.0,0.831,8.074
USA,2005,Male,25-55,48200000.0,0.9746,44400000.0,0.5768,12.84,-2.102,-1.385,-0.856,-0.4024,-0.2869,-0.05479,0.01176,0.05175,0.1002,0.188,0.4154,0.5141,0.8742,1.282,1.79,2.846,3.622,0.9165,0.4623,0.4541,34200000.0,0.8145,8.274
USA,2006,Male,25-55,48500000.0,0.981,44600000.0,0.5796,12.93,-2.13,-1.409,-0.88,-0.4174,-0.298,-0.0558,0.01683,0.05703,0.1035,0.1865,0.4052,0.5017,0.8588,1.265,1.778,2.846,3.632,0.9191,0.4447,0.4744,34500000.0,0.8001,8.495
USA,2007,Male,25-55,48600000.0,0.9897,44500000.0,0.584,12.58,-2.17,-1.461,-0.9303,-0.462,-0.3358,-0.07138,0.01199,0.05446,0.09723,0.1716,0.3781,0.4713,0.8301,1.245,1.761,2.845,3.632,0.9333,0.4169,0.5165,34700000.0,0.7868,8.755
